Date;API2;MTFc1 (TRDPRC_1);CMAP4C1 (TRDPRC_1)
13/03/2024;98.8855;100,0274;89,979
12/03/2024;96.5763;100,0092;90,6261
08/03/2024;100.576;101,6275;91,2042
07/03/2024;100.0365;101,1785;91,3576
06/03/2024;103.2394;102,9182;93,1449
05/03/2024;102.7176;103,6389;93,4132
04/03/2024;98.1205;102,2664;93,2836
01/03/2024;97.0102;98,7358;93,6606
29/02/2024;93.0297;96,1307;92,5669
28/02/2024;96.4378;95,6534;92,285
27/02/2024;93.1391;93,0468;90,972
26/02/2024;90.3476;90,9929;84,9544
23/02/2024;86.8922;88,5284;85,1821
22/02/2024;86.6211;88,3766;85,1428
21/02/2024;86.9002;87,9634;85,19
15/02/2024;85.5538;87,7356;84,9503
05/02/2024;90.0754;91,4254;87,5151
01/02/2024;88.0703;89,6339;87,2884
24/01/2024;85.6841;97,3077;87,2921
18/01/2024;93.25;98,3079;87,8242
17/01/2024;92.3628;98,3365;88,365
16/01/2024;96.2847;99,3195;87,8242
10/01/2024;96.6001;99,3528;88,8707
09/01/2024;98.5729;101,6833;91,7116
05/01/2024;101.4532;105,3377;90,6224
03/01/2024;93.398;100,0366;91,0173
22/12/2023;95.3678;105,2225;91,5077
18/12/2023;97.5096;106,9859;92,0161
14/12/2023;100.0819;107,3606;92,3483
07/12/2023;109.1086;113,0467;99,8425
06/12/2023;108.2513;111,8751;97,7978
01/12/2023;107.003;110,1002;105,2293
30/11/2023;102.8844;108,8095;105,181
23/11/2023;108.6757;112,7492;104,5488
20/11/2023;102.1668;111,3092;103,5381
08/11/2023;106.7059;116,4659;106,9394
06/11/2023;110.3593;112,6925;111,2926
03/11/2023;112.7785;116,0406;111,9862
02/11/2023;111.3465;116,7608;112,2881
31/10/2023;115.3555;116,4429;117,8612
30/10/2023;122.9624;120,7953;122,2557
24/10/2023;126.5584;127,7389;124,4333
23/10/2023;127.4841;128,4214;124,2032
17/10/2023;131.9149;131,2057;127,1868
16/10/2023;132.6009;131,5116;127,1548
12/10/2023;126.7338;127,5413;124,6912
11/10/2023;122.4451;122,4451;122,5864
10/10/2023;118.5985;122,8426;120,6262
02/10/2023;120.7522;118,3658;116,218
08/09/2023;107.7203;108,5615;106,7857
07/09/2023;105.6173;108,655;104,9163
01/09/2023;109.069;108,28;104,9661
30/08/2023;111.6807;111,9096;99,3806
25/08/2023;111.6944;109,2608;103,1481
23/08/2023;114.191;108,8038;103,2784
22/08/2023;119.882;109,5076;103,4212
21/08/2023;112.9373;109,1268;102,1486
16/08/2023;110.355;105,7569;100,6989
15/08/2023;110.9685;106,2454;100,4219
14/08/2023;108.6757;105,5117;100,8804
11/08/2023;110.106;105,8571;99,598
10/08/2023;109.5273;105,0642;99,9636
09/08/2023;110.0428;105,6229;97,5121
08/08/2023;102.7022;104,9845;97,6812
03/08/2023;100.9686;98,8213;92,7449
02/08/2023;94.6416;96,1503;93,2699
01/08/2023;98.798;94,5638;92,424
31/07/2023;96.8798;96,425;90,5121
27/07/2023;104.347;101,0663;92,0441
18/07/2023;87.52;96,517;84,8477
13/07/2023;84.5331;92,4359;88,2038
12/07/2023;84.4716;93,9073;90,0881
06/07/2023;107.6973;107,6973;101,2033
05/07/2023;112.8928;113,6762;101,539
04/07/2023;108.9455;111,2639;101,2963
03/07/2023;109.0642;111,2639;103,2719
28/06/2023;111.8138;105,0774;92,1089
27/06/2023;107.4459;104,6172;91,7054
26/06/2023;105.9244;105,1449;92,168
22/06/2023;106.2249;105,5586;93,3279
15/06/2023;107.8118;106,3042;95,0206
14/06/2023;107.1;107,7001;97,1748
13/06/2023;105.6436;107,7287;97,9983
12/06/2023;101.3294;106,6747;99,2377
09/06/2023;105.6109;108,0767;98,1669
08/06/2023;99.7125;104,3502;96,466
07/06/2023;98.6258;102,5989;93,7179
06/06/2023;94.6123;98,6811;98,2135
25/05/2023;92.8591;110,5514;102,6215
17/05/2023;97.795;108,7277;101,4854
16/05/2023;93.4536;107,863;103,7197
15/05/2023;97.4982;108,9956;103,6148
11/05/2023;101.2461;109,355;107,2018
04/05/2023;109.8901;115,0213;113,5228
28/04/2023;124.7731;127,3503;115,6987
27/04/2023;120.613;126,8704;115,6253
31/03/2023;130.0858;127,5948;122,2437
30/03/2023;128.4286;126,2728;121,5485
29/03/2023;129.1156;127,1327;121,9681
15/03/2023;121.9858;128,6052;129,078
10/03/2023;118.8575;126,8439;122,146
09/03/2023;113.6578;120,6522;120,5104
07/03/2023;112.8283;118,1853;117,0949
28/02/2023;138.2848;138,0484;136,5356
27/02/2023;145.1871;140,1433;132,4597
24/02/2023;148.8716;131,1398;134,4112
21/02/2023;125.8689;128,3581;132,4441
20/02/2023;127.7851;126,8468;131,9978
14/02/2023;122.0307;124,8253;133,6749
10/02/2023;118.9696;122,7166;134,8946
09/02/2023;111.3077;119,225;136,4568
08/02/2023;117.546;120,3194;140,536
07/02/2023;134.2908;126,5038;145,0154
26/01/2023;126.0446;152,5852;148,774
24/01/2023;149.7474;155,8567;155,7189
19/01/2023;158.8621;162,0024;155,1676
11/01/2023;153.417;153,5565;158,7634
10/01/2023;161.1701;159,3069;159,3069
05/01/2023;173.0038;168,4886;176,8061
04/01/2023;169.8273;168,4121;193,444
03/01/2023;180.1631;175,0901;193,444
21/12/2022;178.723;215,9766;207,4884
13/12/2022;221.0724;233,302;220,6021
12/12/2022;227.8121;238,728;226,3882
21/11/2022;225.0757;212,3816;191,8758
15/11/2022;195.69;196,1732;182,644
14/11/2022;186.4407;188,862;180,1453
10/11/2022;172.4138;190,6838;180,2508
09/11/2022;180.8011;187,7934;185,5459
07/11/2022;202.615;202,615;209,1027
02/11/2022;232.7595;235,5608;223,5917
28/10/2022;243.9024;268,8447;238,8839
26/10/2022;243.1279;266,9445;241,6394
25/10/2022;245.3834;270,2228;242,8743
20/10/2022;263.7228;275,989;247,3679
19/10/2022;263.535;273,2576;247,9275
11/10/2022;264.8665;274,2966;248,8921
07/10/2022;254.594;268,9662;255,1073
06/10/2022;301.3895;271,2505;290,662
29/09/2022;311.7995;334,4712;302,6289
21/09/2022;304.971;332,9267;296,3302
16/09/2022;311.5327;332,002;307,8882
15/09/2022;322.0322;337,0337;307,3807
14/09/2022;320.7377;336,7746;306,7054
13/09/2022;320.9629;337,011;301,1535
09/09/2022;323.7374;336,6869;329,7141
08/09/2022;335.4513;348,2089;343,2059
05/09/2022;393.915;375,7411;353,113
01/09/2022;356.245;371,078;348,0491
30/08/2022;349.5805;361,666;332,1661
19/08/2022;396.6514;372,0849;326,3903
18/08/2022;371.7288;361,1717;321,1737
17/08/2022;373.2809;354,6169;317,78
16/08/2022;376.5978;349,41;316,6175
15/08/2022;344.4882;347,7854;313,9764
12/08/2022;319.7504;339,2474;306,59
11/08/2022;334.3995;333,7695;302,8981
10/08/2022;325.3375;333,4466;291,347
09/08/2022;293.8008;320,8794;287,9248
08/08/2022;287.3958;307,5037;284,4532
05/08/2022;282.8799;308,0739;289,2643
03/08/2022;334.514;347,1566;315,3286
27/07/2022;369.5354;381,6409;330,8175
26/07/2022;375.7168;383,9727;337,6508
21/07/2022;322.6437;366,6406;327,0434
20/07/2022;330.1562;369,4605;330,1562
19/07/2022;322.77;362,8717;326,6823
18/07/2022;332.8074;369,4409;339,7101
14/07/2022;364.4169;391,3738;351,4377
13/07/2022;377.7336;392,1471;350,0497
12/07/2022;390.5939;393,0849;351,8832
08/07/2022;367.2788;381,5182;345,3305
07/07/2022;368.8847;378,9743;343,5377
04/07/2022;351.6937;351,9371;326,2643
30/06/2022;352.9861;353,32;322,9346
29/06/2022;346.7765;349,1714;326,3244
28/06/2022;353.6794;347,4995;328,0091
27/06/2022;357.1766;349,1449;312,7658
21/06/2022;351.5439;328,266;313,5392
16/06/2022;281.5967;314,1652;300,0853
15/06/2022;284.401;314,086;298,7647
14/06/2022;278.4713;311,1196;299,1166
08/06/2022;270.6739;302,8747;301,4747
30/05/2022;279.2985;305,9103;303,192
26/05/2022;275.0839;308,1872;306,3223
25/05/2022;271.5356;308,9888;307,5843
24/05/2022;270.1696;308,3659;309,2976
18/05/2022;317.2177;314,3512;312,918
17/05/2022;303.4038;312,4111;311,937
16/05/2022;297.1911;311,7151;313,0093
13/05/2022;288.3969;305,7823;314,5711
12/05/2022;298.68;313,4695;308,3149
11/05/2022;288.2694;303,0159;296,594
10/05/2022;274.0572;297,3307;292,581
09/05/2022;288.0152;294,505;294,1734
06/05/2022;289.0721;302,341;293,3371
05/05/2022;298.8615;303,6053;284,1556
04/05/2022;289.05;293,4281;259,0622
03/05/2022;261.8821;269,0114;280,8454
27/04/2022;269.0668;307,2951;282,2359
26/04/2022;274.5393;305,2369;282,0609
22/04/2022;289.9759;302,7145;288,5863
21/04/2022;302.6947;301,4027;284,9299
20/04/2022;298.9401;301,9816;280,6452
12/04/2022;295.8156;295,2614;262,7933
08/04/2022;264.8032;269,0787;249,1725
07/04/2022;258.7792;259,6065;249,1267
05/04/2022;267.8162;269,9716;227,9189
01/04/2022;236.135;239,7539;230,4804
31/03/2022;249.4352;247,0402;232,2639
30/03/2022;250.986;243,3668;228,711
23/03/2022;265.3581;296,2559;304,4348
22/03/2022;235.7849;292,9174;302,8929
17/03/2022;216.4307;279,5563;284,0653
16/03/2022;240.2103;281,0007;317,2589
15/03/2022;273.9476;311,3871;340,1516
10/03/2022;332.3318;330,8295;386,9617
09/03/2022;417.1558;372,4605;408,5779
03/03/2022;329.8988;318,6009;370,5712
02/03/2022;373.1679;392,0511;280,1007
28/02/2022;223.2819;226,981;180,943
25/02/2022;192.5979;172,628;178,8409
24/02/2022;214.458;171,5664;179,3852
23/02/2022;178.6188;168,671;175,5239
22/02/2022;165.1214;166,8874;172,6269
17/02/2022;141.7254;161,9718;170,7746
16/02/2022;143.7879;161,4789;173,2173
15/02/2022;152.1222;164,4505;173,0363
14/02/2022;157.0102;169,3941;173,1535
11/02/2022;153.3175;166,9751;171,8213
10/02/2022;151.8334;164,5226;169,7733
09/02/2022;157.5906;164,1569;166,2406
08/02/2022;153.5395;162,9578;165,5861
03/02/2022;136.8246;155,3156;152,9988
02/02/2022;139.7859;156,9495;152,172
24/01/2022;145.7211;144,2639;152,3448
21/01/2022;142.6367;142,8571;148,5891
20/01/2022;137.931;141,4677;151,1936
19/01/2022;137.7744;142,6241;149,8986
18/01/2022;141.2804;143,0464;147,4614
17/01/2022;138.0731;135,2287;146,4013
12/01/2022;114.0535;121,4823;136,7768
30/12/2021;105.0958;122,3174;122,3174
17/12/2021;133.4638;129,9048;124,3438
15/12/2021;129.5968;125,3877;122,7293
14/12/2021;129.1641;125,2554;121,6132
10/12/2021;118.4687;119,9717;119,3528
09/12/2021;119.5537;119,4651;118,6681
08/12/2021;118.1449;118,5858;113,2957
07/12/2021;114.0904;114,5787;114,0904
06/12/2021;108.1081;108,1081;114,5326
03/12/2021;110.4924;106,9566;117,5639
02/12/2021;106.2041;109,9655;116,8245
01/12/2021;98.9487;110,5663;105,133
25/11/2021;135.6416;133,4286;125,5131
22/11/2021;123.5817;130,2742;121,2836
17/11/2021;119.0476;125,8945;114,6303
16/11/2021;113.9677;125,1877;114,6303
12/11/2021;116.1572;121,8341;121,6157
11/11/2021;115.2838;123,5808;121,6157
10/11/2021;114.1314;124,1505;127,1999
04/11/2021;103.2722;128,1163;119,6762
03/11/2021;116.2791;128,7683;104,0052
02/11/2021;110.9959;120,7999;111,2119
29/10/2021;134.9364;200,1124;190,7707
28/10/2021;145.5604;200,8306;188,3723
26/10/2021;174.213;201,8111;189,737
22/10/2021;146.8189;197,2611;192,7535
21/10/2021;137.2515;196,6268;193,1848
19/10/2021;187.3281;203,7483;191,7125
18/10/2021;181.7555;205,5733;196,3993
14/10/2021;204.8473;210,2381;199,6722
13/10/2021;208.7647;211,3095;198,6284
12/10/2021;209.9419;210,9395;200,3123
11/10/2021;198.2512;207,9041;191,8881
08/10/2021;178.0929;198,8415;187,3001
07/10/2021;181.3853;205,2814;190,1732
06/10/2021;242.2984;205,2181;205,9536
05/10/2021;240.9431;236,2884;196,8351
30/09/2021;184.5696;188,3257;167,3431
29/09/2021;180.2501;181,1125;165,1574
28/09/2021;178.923;172,3739;157,692
27/09/2021;171.2417;172,1823;132,3328
24/09/2021;158.3575;147,7292;132,2349
23/09/2021;145.9185;146,9836;131,987
22/09/2021;142.0503;147,1419;131,9956
21/09/2021;140.749;145,9951;131,5789
20/09/2021;140.7249;145,9275;131,3433
17/09/2021;138.1663;143,9232;130,2772
16/09/2021;143.6586;142,1285;130,9079
15/09/2021;143.0385;143,3347;130,766
08/09/2021;140.7348;142,8934;128,7141
07/09/2021;140.4257;142,5796;129,1494
03/09/2021;134.3461;139,0759;128,682
02/09/2021;134.4479;136,5704;126,8845
01/09/2021;127.5661;133,3953;124,6515
31/08/2021;130.4311;130,9393;117,2107
27/08/2021;125.4134;126,2189;117,2306
25/08/2021;125.3186;126,5081;117,3747
24/08/2021;123.3728;126,7761;117,2041
23/08/2021;121.2893;126,3306;117,091
20/08/2021;115.4241;125,2565;117,9891
19/08/2021;120.3529;123,5652;118,2114
18/08/2021;125.8753;128,2237;117,6345
17/08/2021;130.0393;128,1602;117,9535
16/08/2021;129.2774;128,8953;117,0502
13/08/2021;126.5796;126,9188;116,3175
12/08/2021;128.7627;127,0146;116,9523
11/08/2021;122.3907;126,1822;116,2137
10/08/2021;122.5892;124,68;116,2314
09/08/2021;121.5813;123,2853;115,7451
06/08/2021;119.0476;122,2364;114,2432
05/08/2021;116.8442;119,6755;112,9986
04/08/2021;115.7583;119,2226;111,9561
03/08/2021;115.7251;118,1282;111,7201
02/08/2021;115.8675;117,8478;112,3704
30/07/2021;116.6386;111,8787;104,0017
29/07/2021;115.6823;111,3495;103,441
28/07/2021;114.001;112,2277;103,8676
26/07/2021;114.2046;112,2129;104,2461
23/07/2021;112.3524;112,5223;104,4941
22/07/2021;112.3619;112,3195;104,503
21/07/2021;110.2442;112,6611;104,308
20/07/2021;110.0576;112,2336;104,6354
14/07/2021;110.6886;110,9844;101,3942
12/07/2021;105.5317;107,0917;99,1652
08/07/2021;101.3342;106,0209;99,2231
07/07/2021;101.1463;105,6917;99,3723
02/07/2021;100.3034;104,1807;98,8284
01/07/2021;99.1729;103,2242;96,9362
30/06/2021;98.1695;101,8558;96,0776
29/06/2021;96.7465;96,7633;97,2257
28/06/2021;96.4441;93,9701;97,7021
25/06/2021;96.7904;90,8405;97,0837
15/06/2021;85.7803;89,0795;94,5645
11/06/2021;92.3509;90,9466;95,3659
09/06/2021;84.8662;88,8898;94,4326
08/06/2021;84.915;86,969;93,3777
04/06/2021;81.1755;83,2306;92,8894
03/06/2021;82.2748;82,8522;92,0901
02/06/2021;77.8115;78,6305;91,7356
01/06/2021;77.7987;78,5357;86,0941
28/05/2021;75.601;70,6375;86,3483
27/05/2021;75.0492;70,456;86,122
26/05/2021;74.5693;70,4676;86,1362
25/05/2021;73.6735;69,9592;85,3061
24/05/2021;72.3291;69,955;84,5682
21/05/2021;70.4081;69,9975;84,9002
20/05/2021;68.4034;69,2377;83,1834
19/05/2021;68.7069;69,0108;84,1686
18/05/2021;68.6989;69,2308;83,8789
14/05/2021;71.2521;70,3871;85,3789
12/05/2021;70.5775;71,1327;83,4783
11/05/2021;70.1301;69,7349;82,5375
10/05/2021;69.9151;69,1318;81,9523
07/05/2021;66.1021;67,7464;81,8877
06/05/2021;66.6446;67,7221;80,3216
05/05/2021;65.1812;66,5973;79,2586
04/05/2021;65.221;65,3875;77,2324
30/04/2021;64.6114;59,7021;77,3423
29/04/2021;62.0564;59,3332;76,7041
28/04/2021;61.4534;59,1438;76,6724
27/04/2021;61.6212;59,3466;76,799
26/04/2021;60.7465;59,2982;76,8435
23/04/2021;61.0794;59,0958;77,1551
22/04/2021;60.7574;59,6338;77,5281
21/04/2021;60.6665;59,503;77,7445
20/04/2021;60.9989;59,2953;77,9523
19/04/2021;62.9642;59,4199;78,0354
14/04/2021;58.524;57,8561;79,5208
13/04/2021;58.6807;57,7599;79,7338
09/04/2021;55.4808;56,7838;80,4472
07/04/2021;58.7616;57,9612;81,8029
06/04/2021;59.1158;59,2842;82,469
02/04/2021;60.2789;59,6603;82,469
01/04/2021;60.2123;59,6603;82,2505
31/03/2021;59.2599;59,7715;81,0454
30/03/2021;59.6978;59,7576;81,1849
29/03/2021;59.4542;59,9388;80,3435
25/03/2021;59.0785;58,1435;80,3298
24/03/2021;59.1348;57,9072;80,0034
23/03/2021;58.9501;57,7686;79,7536
19/03/2021;57.5905;57,3385;78,5936
16/03/2021;54.7899;55,7563;76,3445
15/03/2021;54.9966;55,6254;75,5366
12/03/2021;54.3842;55,3046;74,3809
11/03/2021;54.1555;55,0317;73,1392
10/03/2021;53.9036;55,3878;73,3333
09/03/2021;52.5298;55,4715;73,3737
08/03/2021;52.7738;55,3492;73,7566
02/03/2021;53.3543;54,7192;70,8082
01/03/2021;53.5403;54,3704;73,5038
26/02/2021;53.8347;54,5801;73,3394
25/02/2021;52.1518;54,0407;72,725
24/02/2021;52.2032;54,0529;72,509
23/02/2021;52.4735;54,202;72,8867
22/02/2021;52.4519;54,3031;73,0624
19/02/2021;52.9834;54,4689;73,0379
18/02/2021;51.6628;54,0619;73,544
17/02/2021;51.886;54,2954;73,7371
16/02/2021;52.462;54,1557;73,4881
15/02/2021;52.5686;55,2897;73,3075
12/02/2021;55.2071;55,2897;73,1969
11/02/2021;55.0792;55,3677;72,7243
10/02/2021;56.1195;56,1654;72,3011
08/02/2021;55.5279;56,6899;71,7131
04/02/2021;52.6668;54,2551;68,5922
03/02/2021;52.3517;52,9334;68,3896
02/02/2021;54.6006;54,4345;69,133
01/02/2021;56.7626;54,0675;75,1306
29/01/2021;57.5148;55,8668;74,8599
28/01/2021;56.101;55,8947;74,9113
27/01/2021;56.1612;55,8722;74,9092
26/01/2021;55.5099;55,5921;74,4243
25/01/2021;55.4091;55,5327;74,5654
22/01/2021;54.9684;55,519;74,7925
18/01/2021;56.3514;56,6319;76,1014
15/01/2021;58.8094;56,6319;76,3785
14/01/2021;59.0244;57,3791;76,7111
13/01/2021;59.0195;57,7856;76,8693
12/01/2021;57.3441;57,9585;73,9739
11/01/2021;57.6179;56,3421;73,9979
08/01/2021;56.0648;56,0648;72,3932
05/01/2021;57.7517;52,8713;70,1968
04/01/2021;57.9686;56,6215;71,2361
24/12/2020;57.6481;54,3246;73,8552
23/12/2020;57.6529;54,247;73,8613
18/12/2020;55.8956;53,8556;73,317
17/12/2020;55.8454;53,6035;73,129
11/12/2020;53.0509;53,7941;67,707
10/12/2020;52.9417;52,7357;66,1668
09/12/2020;52.5619;52,3136;66,3025
08/12/2020;52.475;52,0205;67,639
04/12/2020;52.4752;52,0627;69,5545
03/12/2020;50.5354;50,9061;69,687
02/12/2020;50.6397;51,1762;69,3355
01/12/2020;50.3314;50,8285;69,4118
30/11/2020;50.9306;51,1402;57,5991
27/11/2020;49.5319;44,9758;57,5573
26/11/2020;49.7356;44,9929;57,794
25/11/2020;49.148;44,9929;57,9199
24/11/2020;48.3681;44,7931;57,6632
23/11/2020;46.2416;44,9324;57,1368
18/11/2020;47.2494;44,6338;56,4462
17/11/2020;46.6908;44,5578;56,572
16/11/2020;47.2279;44,7144;58,1709
13/11/2020;46.6531;44,6247;56,4571
12/11/2020;46.5097;44,4764;56,0403
11/11/2020;43.3897;43,6868;55,4046
10/11/2020;45.9624;43,4654;54,2153
09/11/2020;48.6752;43,2151;53,2464
06/11/2020;44.3059;42,874;52,308
05/11/2020;44.4971;43,5242;52,1107
04/11/2020;43.7639;43,38;52,2522
03/11/2020;44.1465;43,6342;52,0024
02/11/2020;44.4158;43,5567;51,5893
23/10/2020;48.1491;47,8961;49,9621
22/10/2020;48.3243;48,1127;49,8053
21/10/2020;48.8998;47,6351;49,785
20/10/2020;49.9112;48,2193;50,1227
19/10/2020;49.7195;48,5297;50,442
